CaptureID,Identity,Date,Time,Processors,Capture_method,Location,Lat,Long,Weight,Condition,Harnessing,PTTID,Wing,Tail,Bill,Head-bill,Tarsus,Moult_left,Moult_right,DNA_taken,Process_time,Notes
265,Riley,19/03/2023,14:55,SR,Hand,MR Aviary,,,880,Excellent,N,,,,,,,,,N,3,Given aviary band black (left). Moved from pen 14 -> 11
266,Harley,19/03/2023,15:04,SR,Hand,MR Aviary,,,750,Good,N,,,,,,,,,N,4,2022 offspring of Nina and Frank. Extremely loud and fighty. Moved from pen 15 -> 26. Given aviary band white (left)
267,Indigo,19/03/2023,15:11,SR,Hand,MR Aviary,,,520,,N,,,,,,,,,N,3,Late season offspring of Nina and Frank. Sibling to Harley but later clutch. Still has down. Move to pen 26 when fully grown. Given aviary band pink (left)
268,Fauna,19/03/2023,15:21,SR,Hand,MR Aviary,,,685,Good,N,,,,,,,,,N,2,Offspring Sandi and Andy. Sibling to Flora. Given aviary band blue (right). Pen 16.
269,Flora,19/03/2023,15:23,SR,Hand,MR Aviary,,,785,Excellent,N,,,,,,,,,N,2,Offspring Sandi and Andy. Sibling to Fauna. Given aviary band orange (right). Pen 16.
270,Dawn,19/03/2023,15:37,SR,Hand,MR Aviary,,,760,Excellent,N,,,,,,,,,N,2,Given aviary band yellow (right). Pen 23.
271,Zeus,19/03/2023,15:57,SR,Hand,MR Aviary,,,770,Good,N,,,,,,,,,N,2,Offspring of Twiggy and Groot. Moved pen 35 -> 38. Given aviary band black (right).
272,Orchid,19/03/2023,15:49,SR,Hand,MR Aviary,,,740,Good,N,,,,,,,,,N,2,Offspring of Pilot and Luna. Moved pen 31 -> 38. Given aviary band orange (right).
273,Robin,19/03/2023,20:38,SR,Net launcher,MR Zone 2,-37.896433,144.443112,715,Good,N,,,,,,,5-5 4-1 0-4,5-5 4-1 0-4,N,5,Primaries trimmed. Harness reglued. Had a mouse by the tail when caught. Moult L: 5-5 4-1 0-4 R: 5-5 4-1 0-4.
274,Timber,7/06/2023,12:36,SR/LON,Hand,MR Aviary,,,855,Good,Y,193218,294,,,106.9,128,0-10,0-10,Y,38,"Processing for release same day. Caught in posture, kicked in hand, calm in bag. Feathers worn. Primaries slightly abraded. Clipped wings. Good feet. Abrasion on bill."
275,Jessie,7/06/2023,13:11,SR/LON,Hand,MR Aviary,,,820,Good,Y,214389,274,,,98.8,124,0-10,0-10,Y,35,"Processing for release same day. In posture until 30cm FID, flapped in hand, calm in bag. Historic abrasions on bill, well healed. Good feet. Wings clipped."
276,Fauna,7/06/2023,14:10,SR/LON,Hand,MR Aviary,,,715,Good,Y,214391,289,,,100.9,125,5-Oct,5-Oct,Y,21,"Processing for release same day. Log until picked up, then kick and growl. Clipped wings. Good feet. New abrasion on bill as well as historic healed."
277,Sofi,7/06/2023,15:14,SR/LON,Hand,MR Aviary,,,870,Excellent,Y,214385,,,,103.8,124,5-3 0-7,5-5 0-5,Y,28,"Processing for release same day. Running before entered. Panic, run and fly. Significant bill brasion with swelling. Feathers broken. Wing grazes. Worn feathers. Left foot pad swollen, small cuts. Wings clipped."
278,Sparkles,8/06/2023,13:30,SR/LON,Hand,MR Aviary,,,805,Good,Y,193217,289,,,103.5,128,5-Oct,5-Oct,Y,19,"Processing for release same day. Standing & alert, didn't react when I entered aviary. Dermatitis both legs. Wings clipped. Slight historic bill abrasion. Pacing and soft calling in crate."
279,Daisy,8/06/2023,12:55,SR/LON,Hand,MR Aviary,,,765,Good,Y,216465,298,,,101.4,134,5-2 4-3 0-5,0-3 5-7,Y,33,"Processing for release same day. Standing & alert, didn't react when I entered aviary. Calm in bag, nervous in hand. Had been clipped in past, not fully moulted. Wings clipped. Pacing and soft calling in crate."
281,Freckle,8/06/2023,13:57,SR/LON,Hand,MR Aviary,,,790,Good,N,,295,,,99.9,134,,5-8 0-2,Y,30,"Processed for release later this week. Not released today due to removing stick from left nasal cavity. Bird flew, caught on landing. Good feet. Dermatitis on legs. Wings clipped. Moved to pen 24 with Prem."
