"dist","bird","date","release"
22.2503569804745,"Nutmeg",2022-12-12,"October"
14.8334604879063,"Nutmeg",2022-12-13,"October"
15.5471597047277,"Nutmeg",2022-12-14,"October"
17.4585873481991,"Nutmeg",2022-12-15,"October"
21.7030026471187,"Nutmeg",2022-12-16,"October"
14.884590218586,"Nutmeg",2022-12-17,"October"
15.0018276758786,"Nutmeg",2022-12-18,"October"
21.5989922243767,"Nutmeg",2022-12-19,"October"
13.2014727612046,"Nutmeg",2022-12-20,"October"
13.3849373970874,"Nutmeg",2022-12-21,"October"
11.4782542387702,"Nutmeg",2022-12-22,"October"
10.7774226486538,"Nutmeg",2022-12-23,"October"
17.543436846992,"Nutmeg",2022-12-24,"October"
16.6371929026181,"Nutmeg",2022-12-25,"October"
15.268171235376,"Nutmeg",2022-12-26,"October"
7.32280526207769,"Nutmeg",2022-12-27,"October"
8.68033519503774,"Nutmeg",2022-12-28,"October"
16.3068817863239,"Nutmeg",2022-12-29,"October"
16.0955708499155,"Nutmeg",2022-12-30,"October"
15.2611583363328,"Nutmeg",2022-12-31,"October"
7.38307548848368,"Nutmeg",2023-01-01,"October"
10.0745722347297,"Nutmeg",2023-01-02,"October"
12.3533965685946,"Nutmeg",2023-01-03,"October"
12.092119417778,"Nutmeg",2023-01-04,"October"
14.985087243624,"Nutmeg",2023-01-05,"October"
12.9318232778406,"Nutmeg",2023-01-06,"October"
18.3735889416073,"Nutmeg",2023-01-07,"October"
4.42545227012003,"Nutmeg",2023-01-08,"October"
1.34821823641397,"Briar",2022-10-29,"October"
7.13093021137421,"Briar",2022-10-30,"October"
7.86680653360232,"Briar",2022-10-31,"October"
14.1939257261101,"Briar",2022-11-01,"October"
16.5160198455995,"Briar",2022-11-02,"October"
15.6336138215758,"Briar",2022-11-03,"October"
18.4643263118537,"Briar",2022-11-04,"October"
20.8615047914639,"Briar",2022-11-05,"October"
19.1626281846632,"Briar",2022-11-06,"October"
20.1669186937997,"Briar",2022-11-07,"October"
19.1631551162606,"Briar",2022-11-08,"October"
12.6983768816443,"Briar",2022-11-09,"October"
9.93787158766492,"Briar",2022-11-10,"October"
11.9599968305195,"Briar",2022-11-11,"October"
12.41523882665,"Briar",2022-11-12,"October"
14.8608273075554,"Briar",2022-11-13,"October"
14.5410690387195,"Briar",2022-11-14,"October"
19.4947454240099,"Briar",2022-11-15,"October"
19.5468170653702,"Briar",2022-11-16,"October"
12.999207352419,"Briar",2022-11-17,"October"
14.5739458634227,"Briar",2022-11-18,"October"
15.1415814075853,"Briar",2022-11-19,"October"
14.5992814228566,"Briar",2022-11-20,"October"
16.8821449850497,"Briar",2022-11-21,"October"
10.8920388401676,"Briar",2022-11-22,"October"
13.9635792221052,"Briar",2022-11-23,"October"
12.4163476657264,"Briar",2022-11-24,"October"
12.0856749085324,"Briar",2022-11-25,"October"
13.5072217477436,"Briar",2022-11-26,"October"
15.6858817246808,"Briar",2022-11-27,"October"
13.4390870504176,"Briar",2022-11-28,"October"
15.0727830661453,"Briar",2022-11-29,"October"
15.1842064810442,"Briar",2022-11-30,"October"
11.5971155115697,"Briar",2022-12-01,"October"
20.8618608682288,"Briar",2022-12-02,"October"
20.8138712037655,"Briar",2022-12-03,"October"
12.6246161496535,"Briar",2022-12-04,"October"
16.8922265880154,"Briar",2022-12-05,"October"
16.0282889324058,"Briar",2022-12-06,"October"
15.3916189900431,"Briar",2022-12-07,"October"
15.487211210243,"Briar",2022-12-08,"October"
18.0530139258048,"Briar",2022-12-09,"October"
21.3926762271383,"Briar",2022-12-10,"October"
12.5368653739922,"Briar",2022-12-11,"October"
8.53576866008211,"Briar",2022-12-12,"October"
7.57941972766038,"Briar",2022-12-13,"October"
11.8468012945451,"Briar",2022-12-14,"October"
17.5973873654558,"Briar",2022-12-15,"October"
19.0653714159096,"Briar",2022-12-16,"October"
15.6760573181056,"Briar",2022-12-17,"October"
18.9077376629188,"Briar",2022-12-18,"October"
16.1116794132914,"Briar",2022-12-19,"October"
13.7966855820472,"Briar",2022-12-20,"October"
11.4760059702664,"Briar",2022-12-21,"October"
14.2996254795678,"Briar",2022-12-22,"October"
11.7688816234761,"Briar",2022-12-23,"October"
13.6140866711044,"Briar",2022-12-24,"October"
9.11619919914985,"Briar",2022-12-25,"October"
9.60192010662874,"Briar",2022-12-26,"October"
8.36538146406373,"Briar",2022-12-27,"October"
5.93280426864945,"Briar",2022-12-28,"October"
11.462691433006,"Briar",2022-12-29,"October"
10.348741281933,"Briar",2022-12-30,"October"
9.70065086590967,"Briar",2022-12-31,"October"
8.93526720901964,"Briar",2023-01-01,"October"
15.6157388557485,"Briar",2023-01-02,"October"
9.90962880418985,"Briar",2023-01-03,"October"
